sim_id,split,tendon_l1,visco_g1,visco_t1,ramp_time,mse,rmse,mae,max_ae,peak_true,peak_pred,peak_abs_err,final_true,final_pred,final_abs_err
full_v2_075,val,4.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,5.727658935938962e-05,0.007568129845568826,0.005916076712310314,0.021161001175642014,1.0076123476028442,1.001052737236023,0.006559610366821289,0.8210870027542114,0.8203938007354736,0.000693202018737793
full_v2_083,val,4.0,0.44999998807907104,0.10000000149011612,0.30000001192092896,3.1604740797774866e-05,0.005621809388246356,0.004717918578535318,0.026772916316986084,0.7980763912200928,0.7950509786605835,0.0030254125595092773,0.634937047958374,0.6395387649536133,0.004601716995239258
full_v2_084,val,4.0,0.44999998807907104,0.10000000149011612,0.4000000059604645,1.884740049717948e-05,0.004341359291417779,0.0035996525548398495,0.019931435585021973,0.7622824907302856,0.7651968002319336,0.0029143095016479492,0.6351332664489746,0.6383063197135925,0.00317305326461792
full_v2_085,val,4.0,0.44999998807907104,0.20000000298023224,0.10000000149011612,6.831892096670344e-05,0.008265526055049578,0.007507088128477335,0.019644737243652344,1.0229222774505615,1.0072144269943237,0.015707850456237793,0.6396793723106384,0.6516907215118408,0.012011349201202393
full_v2_093,val,4.0,0.44999998807907104,0.4000000059604645,0.10000000149011612,1.0639227184583433e-05,0.003261782823025382,0.0017161465948447585,0.014252722263336182,1.0682404041290283,1.0679599046707153,0.0002804994583129883,0.6835381388664246,0.6867195963859558,0.00318145751953125
full_v2_102,val,4.0,0.6000000238418579,0.20000000298023224,0.20000000298023224,3.171855860273354e-05,0.005631923170883418,0.003342575626447797,0.042206406593322754,0.8929401636123657,0.8803768754005432,0.01256328821182251,0.4754035770893097,0.4737602472305298,0.0016433298587799072
full_v2_103,val,4.0,0.6000000238418579,0.20000000298023224,0.30000001192092896,2.6020376026281156e-05,0.005101017156046542,0.003260673489421606,0.04258912801742554,0.8200784921646118,0.8118054270744324,0.008273065090179443,0.4785328507423401,0.47925886511802673,0.0007260143756866455
full_v2_112,val,4.0,0.6000000238418579,0.4000000059604645,0.4000000059604645,5.8585148508427665e-05,0.007654093578499525,0.006234509404748678,0.013155341148376465,0.8929423689842224,0.8888555765151978,0.004086792469024658,0.5672377347946167,0.5541385412216187,0.013099193572998047
full_v2_118,val,4.0,0.75,0.20000000298023224,0.20000000298023224,8.350907592102885e-05,0.009138330040058132,0.008848265744745731,0.029030561447143555,0.8351828455924988,0.8151998519897461,0.019982993602752686,0.3064473569393158,0.2985316216945648,0.007915735244750977
full_v2_137,val,5.0,0.30000001192092896,0.30000001192092896,0.10000000149011612,9.566020889906213e-05,0.009780603708312801,0.008626891300082207,0.039676129817962646,1.3240426778793335,1.3324577808380127,0.0084151029586792,1.0067081451416016,1.0190224647521973,0.012314319610595703
full_v2_140,val,5.0,0.30000001192092896,0.30000001192092896,0.4000000059604645,3.937210567528382e-05,0.006274719569453588,0.00489776162430644,0.016641736030578613,1.2112512588500977,1.2184734344482422,0.007222175598144531,1.0203778743743896,1.0259369611740112,0.005559086799621582
full_v2_142,val,5.0,0.30000001192092896,0.4000000059604645,0.20000000298023224,0.00018462938896846026,0.013587839746201757,0.012105357833206654,0.030846238136291504,1.3002700805664062,1.318924903869629,0.018654823303222656,1.0329880714416504,1.045140266418457,0.01215219497680664
full_v2_145,val,5.0,0.44999998807907104,0.10000000149011612,0.10000000149011612,7.934728637337685e-05,0.008907709378587564,0.007383216172456741,0.021178722381591797,1.1721699237823486,1.1529934406280518,0.019176483154296875,0.7863803505897522,0.788482666015625,0.0021023154258728027
full_v2_150,val,5.0,0.44999998807907104,0.20000000298023224,0.20000000298023224,0.0002728861290961504,0.016519265392145936,0.015522237867116928,0.027306661009788513,1.1721774339675903,1.1712485551834106,0.0009288787841796875,0.7944931983947754,0.8180156946182251,0.023522496223449707
full_v2_161,val,5.0,0.6000000238418579,0.10000000149011612,0.10000000149011612,4.380446989671327e-05,0.006618494534009473,0.00540613429620862,0.02458047866821289,1.102167010307312,1.0775865316390991,0.02458047866821289,0.5790106654167175,0.5745844841003418,0.004426181316375732
full_v2_183,val,5.0,0.75,0.20000000298023224,0.30000001192092896,1.5049526155053172e-05,0.003879371876354879,0.003314214525744319,0.01767975091934204,0.9197952747344971,0.9129111766815186,0.006884098052978516,0.38711017370224,0.3849708139896393,0.002139359712600708
full_v2_184,val,5.0,0.75,0.20000000298023224,0.4000000059604645,2.2748597984900698e-05,0.004769549033703364,0.003917348105460405,0.012488901615142822,0.8341321349143982,0.8415894508361816,0.007457315921783447,0.3944186866283417,0.3969546854496002,0.002535998821258545
full_v2_187,val,5.0,0.75,0.30000001192092896,0.30000001192092896,7.310292130568996e-05,0.00855002463772415,0.007712495978921652,0.017186522483825684,1.0317599773406982,1.0273160934448242,0.0044438838958740234,0.44072815775871277,0.4483901858329773,0.007662028074264526
full_v2_194,val,6.0,0.30000001192092896,0.10000000149011612,0.20000000298023224,9.441570000490174e-05,0.009716774156318636,0.007412544451653957,0.06156456470489502,1.3796175718307495,1.369621753692627,0.009995818138122559,1.1735163927078247,1.167234182357788,0.006282210350036621
full_v2_207,val,6.0,0.30000001192092896,0.4000000059604645,0.30000001192092896,8.79002982401289e-05,0.009375515891945834,0.006357735022902489,0.07763999700546265,1.5011321306228638,1.4779632091522217,0.02316892147064209,1.2332371473312378,1.2389020919799805,0.005664944648742676
full_v2_216,val,6.0,0.44999998807907104,0.20000000298023224,0.4000000059604645,9.924602636601776e-05,0.00996222998961667,0.008236243389546871,0.021024763584136963,1.2519207000732422,1.2419068813323975,0.010013818740844727,0.9531849026679993,0.9742096662521362,0.021024763584136963
full_v2_230,val,6.0,0.6000000238418579,0.20000000298023224,0.20000000298023224,6.430612120311707e-05,0.008019109751282687,0.006914472207427025,0.024049997329711914,1.306318998336792,1.2832021713256836,0.0231168270111084,0.7043372392654419,0.7026329636573792,0.0017042756080627441
full_v2_240,val,6.0,0.6000000238418579,0.4000000059604645,0.4000000059604645,0.00010385106725152582,0.010190734382345848,0.00865775067359209,0.045077502727508545,1.3063219785690308,1.2907177209854126,0.015604257583618164,0.8398106694221497,0.8248413801193237,0.014969289302825928
full_v2_251,val,6.0,0.75,0.30000001192092896,0.30000001192092896,5.751242133555934e-05,0.007583694438435619,0.0069759138859808445,0.014840781688690186,1.223857045173645,1.2103538513183594,0.013503193855285645,0.5278686881065369,0.5372223258018494,0.0093536376953125
full_v2_252,val,6.0,0.75,0.30000001192092896,0.4000000059604645,5.145920658833347e-05,0.007173507272480699,0.005738646257668734,0.02208167314529419,1.132399082183838,1.1306893825531006,0.0017096996307373047,0.5463123917579651,0.5521008968353271,0.0057885050773620605
full_v2_255,val,6.0,0.75,0.4000000059604645,0.30000001192092896,4.875997547060251e-05,0.006982834343631711,0.0045479401014745235,0.041850745677948,1.3045047521591187,1.2770426273345947,0.027462124824523926,0.6082860231399536,0.6129355430603027,0.004649519920349121
full_v2_003,test,3.0,0.30000001192092896,0.10000000149011612,0.30000001192092896,1.9476841771393083e-05,0.004413257501142788,0.0038530740421265364,0.013738512992858887,0.6891637444496155,0.6991056799888611,0.009941935539245605,0.6070393323898315,0.6086170077323914,0.0015776753425598145
full_v2_010,test,3.0,0.30000001192092896,0.30000001192092896,0.20000000298023224,3.783205465879291e-05,0.006150776752475488,0.00463448790833354,0.01578497886657715,0.7902746200561523,0.8018550276756287,0.011580407619476318,0.6202139258384705,0.6212694644927979,0.0010555386543273926
full_v2_013,test,3.0,0.30000001192092896,0.4000000059604645,0.10000000149011612,0.00043653277680277824,0.02089336681348361,0.019796106964349747,0.04360777139663696,0.8272136449813843,0.8651489019393921,0.03793525695800781,0.6309603452682495,0.6461304426193237,0.015170097351074219
full_v2_021,test,3.0,0.44999998807907104,0.20000000298023224,0.10000000149011612,1.8360313333687373e-05,0.004284893619879888,0.0034243466798216105,0.014893174171447754,0.7785735726356506,0.7694536447525024,0.009119927883148193,0.48412156105041504,0.4899519681930542,0.00583040714263916
full_v2_023,test,3.0,0.44999998807907104,0.20000000298023224,0.30000001192092896,4.386795626487583e-05,0.006623288931103325,0.00442774360999465,0.03466510772705078,0.6808308959007263,0.6756864786148071,0.0051444172859191895,0.4870119094848633,0.4860410690307617,0.0009708404541015625
full_v2_025,test,3.0,0.44999998807907104,0.30000001192092896,0.10000000149011612,1.5949421140248887e-05,0.003993672638092523,0.003088621888309717,0.015342950820922852,0.8012958765029907,0.7943938970565796,0.006901979446411133,0.4975423216819763,0.49950143694877625,0.0019591152667999268
